Problema;Algoritmo;bhv;hv;gd;igd;igdp;bspread;spread
ZDT2;MyNSGAII;0.3328335594;0.3271374461;0.0000334175;0.0003004631;0.0025525702;0.0000000000;0.5720111909
ZDT2;NSGAII;0.3328335594;0.3124945809;0.0012662893;0.0004273411;0.0131356465;0.0000000000;0.6747773385
ZDT2;MyNSGAII;0.3328335594;0.3299729877;0.0000700040;0.0000738358;0.0017142168;0.0000000000;0.3644611748
ZDT2;NSGAII;0.3328335594;0.3175007831;0.0005940499;0.0003271789;0.0099833534;0.0000000000;0.5078956612
ZDT2;MyNSGAII;0.3328335594;0.3299414105;0.0000750808;0.0000750665;0.0017288385;0.0000000000;0.3755417035
ZDT2;NSGAII;0.3328335594;0.3081793177;0.0011091493;0.0005542209;0.0161995554;0.0000000000;0.6103840006
ZDT2;MyNSGAII;0.3328335594;0.3299776558;0.0000722277;0.0000717209;0.0017050254;0.0000000000;0.3510637777
ZDT2;NSGAII;0.3328335594;0.3107164967;0.0010058573;0.0005188752;0.0147711464;0.0000000000;0.5989530015
ZDT2;MyNSGAII;0.3328335594;0.3301130465;0.0000649524;0.0000719252;0.0016268118;0.0000000000;0.3402666460
ZDT2;NSGAII;0.3328335594;0.3166020561;0.0006373958;0.0003465636;0.0105244069;0.0000000000;0.5508804058
ZDT2;MyNSGAII;0.3328335594;0.3298059576;0.0000761839;0.0000755589;0.0017815950;0.0000000000;0.3748695752
ZDT2;NSGAII;0.3328335594;0.3104523017;0.0009494831;0.0005022951;0.0148918794;0.0000000000;0.6353514190
ZDT2;MyNSGAII;0.3328335594;0.3299243090;0.0000719412;0.0000721019;0.0017239614;0.0000000000;0.3579585906
ZDT2;NSGAII;0.3328335594;0.3156053207;0.0006784776;0.0003695540;0.0112928462;0.0000000000;0.6006713445
ZDT2;MyNSGAII;0.3328335594;0.3299719523;0.0000722489;0.0000739114;0.0016907443;0.0000000000;0.3406554439
ZDT2;NSGAII;0.3328335594;0.3164072410;0.0006523024;0.0003556024;0.0107688102;0.0000000000;0.5160873644
